           30,          30
  -0.17794599E+01  -0.15517242E+01  -0.13164685E+02
  -0.17794599E+01  -0.17241379E+01  -0.13183387E+02
  -0.17794599E+01  -0.18965517E+01  -0.13196480E+02
  -0.17794599E+01  -0.20689654E+01  -0.13205534E+02
  -0.17794599E+01  -0.22413793E+01  -0.13211741E+02
  -0.17794599E+01  -0.24137931E+01  -0.13215969E+02
  -0.17794599E+01  -0.25862069E+01  -0.13218837E+02
  -0.17794599E+01  -0.27586207E+01  -0.13220777E+02
  -0.17794599E+01  -0.29310346E+01  -0.13222087E+02
  -0.17794599E+01  -0.31034484E+01  -0.13222970E+02
  -0.17794599E+01  -0.32758620E+01  -0.13223565E+02
  -0.17794599E+01  -0.34482758E+01  -0.13223965E+02
  -0.17794599E+01  -0.36206896E+01  -0.13224235E+02
  -0.17794599E+01  -0.37931035E+01  -0.13224416E+02
  -0.17794599E+01  -0.39655173E+01  -0.13224538E+02
  -0.17794599E+01  -0.41379309E+01  -0.13224620E+02
  -0.17794599E+01  -0.43103447E+01  -0.13224675E+02
  -0.17794599E+01  -0.44827585E+01  -0.13224712E+02
  -0.17794599E+01  -0.46551723E+01  -0.13224737E+02
  -0.17794599E+01  -0.48275862E+01  -0.13224754E+02
  -0.17794599E+01  -0.50000000E+01  -0.13224765E+02
 
  -0.12622184E+01   0.00000000E+00  -0.12632202E+02
  -0.12622184E+01  -0.17241380E+00  -0.12705962E+02
  -0.12622184E+01  -0.34482759E+00  -0.12788291E+02
  -0.12622184E+01  -0.51724136E+00  -0.12871320E+02
  -0.12622184E+01  -0.68965518E+00  -0.12948797E+02
  -0.12622184E+01  -0.86206895E+00  -0.13016544E+02
  -0.12622184E+01  -0.10344827E+01  -0.13072544E+02
  -0.12622184E+01  -0.12068965E+01  -0.13116871E+02
  -0.12622184E+01  -0.13793104E+01  -0.13150263E+02
  -0.12622184E+01  -0.15517242E+01  -0.13174729E+02
  -0.12622184E+01  -0.17241379E+01  -0.13192218E+02
  -0.12622184E+01  -0.18965517E+01  -0.13204492E+02
  -0.12622184E+01  -0.20689654E+01  -0.13212995E+02
  -0.12622184E+01  -0.22413793E+01  -0.13218829E+02
  -0.12622184E+01  -0.24137931E+01  -0.13222806E+02
  -0.12622184E+01  -0.25862069E+01  -0.13225506E+02
  -0.12622184E+01  -0.27586207E+01  -0.13227333E+02
  -0.12622184E+01  -0.29310346E+01  -0.13228566E+02
  -0.12622184E+01  -0.31034484E+01  -0.13229398E+02
  -0.12622184E+01  -0.32758620E+01  -0.13229959E+02
  -0.12622184E+01  -0.34482758E+01  -0.13230336E+02
  -0.12622184E+01  -0.36206896E+01  -0.13230590E+02
  -0.12622184E+01  -0.37931035E+01  -0.13230760E+02
  -0.12622184E+01  -0.39655173E+01  -0.13230875E+02
  -0.12622184E+01  -0.41379309E+01  -0.13230953E+02
  -0.12622184E+01  -0.43103447E+01  -0.13231004E+02
  -0.12622184E+01  -0.44827585E+01  -0.13231039E+02
  -0.12622184E+01  -0.46551723E+01  -0.13231063E+02
  -0.12622184E+01  -0.48275862E+01  -0.13231079E+02
  -0.12622184E+01  -0.50000000E+01  -0.13231089E+02
 
  -0.74497693E+00   0.00000000E+00  -0.12861136E+02
  -0.74497693E+00  -0.17241380E+00  -0.12879359E+02
  -0.74497693E+00  -0.34482759E+00  -0.12916626E+02
  -0.74497693E+00  -0.51724136E+00  -0.12965599E+02
  -0.74497693E+00  -0.68965518E+00  -0.13018394E+02
  -0.74497693E+00  -0.86206895E+00  -0.13068698E+02
  -0.74497693E+00  -0.10344827E+01  -0.13112563E+02
  -0.74497693E+00  -0.12068965E+01  -0.13148312E+02
  -0.74497693E+00  -0.13793104E+01  -0.13175967E+02
  -0.74497693E+00  -0.15517242E+01  -0.13196725E+02
  -0.74497693E+00  -0.17241379E+01  -0.13211580E+02
  -0.74497693E+00  -0.18965517E+01  -0.13222073E+02
  -0.74497693E+00  -0.20689654E+01  -0.13229372E+02
  -0.74497693E+00  -0.22413793E+01  -0.13234396E+02
  -0.74497693E+00  -0.24137931E+01  -0.13237827E+02
  -0.74497693E+00  -0.25862069E+01  -0.13240159E+02
  -0.74497693E+00  -0.27586207E+01  -0.13241738E+02
  -0.74497693E+00  -0.29310346E+01  -0.13242805E+02
  -0.74497693E+00  -0.31034484E+01  -0.13243525E+02
  -0.74497693E+00  -0.32758620E+01  -0.13244010E+02
  -0.74497693E+00  -0.34482758E+01  -0.13244336E+02
  -0.74497693E+00  -0.36206896E+01  -0.13244556E+02
  -0.74497693E+00  -0.37931035E+01  -0.13244704E+02
  -0.74497693E+00  -0.39655173E+01  -0.13244803E+02
  -0.74497693E+00  -0.41379309E+01  -0.13244870E+02
  -0.74497693E+00  -0.43103447E+01  -0.13244915E+02
  -0.74497693E+00  -0.44827585E+01  -0.13244946E+02
  -0.74497693E+00  -0.46551723E+01  -0.13244966E+02
  -0.74497693E+00  -0.48275862E+01  -0.13244980E+02
  -0.74497693E+00  -0.50000000E+01  -0.13244989E+02
 
  -0.22773546E+00   0.00000000E+00  -0.13209588E+02
  -0.22773546E+00  -0.17241380E+00  -0.13176345E+02
  -0.22773546E+00  -0.34482759E+00  -0.13155664E+02
  -0.22773546E+00  -0.51724136E+00  -0.13151213E+02
  -0.22773546E+00  -0.68965518E+00  -0.13160396E+02
  -0.22773546E+00  -0.86206895E+00  -0.13177579E+02
  -0.22773546E+00  -0.10344827E+01  -0.13197354E+02
  -0.22773546E+00  -0.12068965E+01  -0.13216043E+02
  -0.22773546E+00  -0.13793104E+01  -0.13231819E+02
  -0.22773546E+00  -0.15517242E+01  -0.13244200E+02
  -0.22773546E+00  -0.17241379E+01  -0.13253449E+02
  -0.22773546E+00  -0.18965517E+01  -0.13260131E+02
  -0.22773546E+00  -0.20689654E+01  -0.13264848E+02
  -0.22773546E+00  -0.22413793E+01  -0.13268127E+02
  -0.22773546E+00  -0.24137931E+01  -0.13270380E+02
  -0.22773546E+00  -0.25862069E+01  -0.13271919E+02
  -0.22773546E+00  -0.27586207E+01  -0.13272964E+02
  -0.22773546E+00  -0.29310346E+01  -0.13273671E+02
  -0.22773546E+00  -0.31034484E+01  -0.13274149E+02
  -0.22773546E+00  -0.32758620E+01  -0.13274471E+02
  -0.22773546E+00  -0.34482758E+01  -0.13274688E+02
  -0.22773546E+00  -0.36206896E+01  -0.13274834E+02
  -0.22773546E+00  -0.37931035E+01  -0.13274933E+02
  -0.22773546E+00  -0.39655173E+01  -0.13274999E+02
  -0.22773546E+00  -0.41379309E+01  -0.13275044E+02
  -0.22773546E+00  -0.43103447E+01  -0.13275073E+02
  -0.22773546E+00  -0.44827585E+01  -0.13275094E+02
  -0.22773546E+00  -0.46551723E+01  -0.13275107E+02
  -0.22773546E+00  -0.48275862E+01  -0.13275116E+02
  -0.22773546E+00  -0.50000000E+01  -0.13275122E+02
 
   0.28950602E+00   0.00000000E+00  -0.13607076E+02
   0.28950602E+00  -0.17241380E+00  -0.13562353E+02
   0.28950602E+00  -0.34482759E+00  -0.13512559E+02
   0.28950602E+00  -0.51724136E+00  -0.13462386E+02
   0.28950602E+00  -0.68965518E+00  -0.13419192E+02
   0.28950602E+00  -0.86206895E+00  -0.13387409E+02
   0.28950602E+00  -0.10344827E+01  -0.13366796E+02
   0.28950602E+00  -0.12068965E+01  -0.13354600E+02
   0.28950602E+00  -0.13793104E+01  -0.13347822E+02
   0.28950602E+00  -0.15517242E+01  -0.13344201E+02
   0.28950602E+00  -0.17241379E+01  -0.13342302E+02
   0.28950602E+00  -0.18965517E+01  -0.13341310E+02
   0.28950602E+00  -0.20689654E+01  -0.13340785E+02
   0.28950602E+00  -0.22413793E+01  -0.13340502E+02
   0.28950602E+00  -0.24137931E+01  -0.13340344E+02
   0.28950602E+00  -0.25862069E+01  -0.13340254E+02
   0.28950602E+00  -0.27586207E+01  -0.13340200E+02
   0.28950602E+00  -0.29310346E+01  -0.13340167E+02
   0.28950602E+00  -0.31034484E+01  -0.13340146E+02
   0.28950602E+00  -0.32758620E+01  -0.13340133E+02
   0.28950602E+00  -0.34482758E+01  -0.13340124E+02
   0.28950602E+00  -0.36206896E+01  -0.13340118E+02
   0.28950602E+00  -0.37931035E+01  -0.13340115E+02
   0.28950602E+00  -0.39655173E+01  -0.13340112E+02
   0.28950602E+00  -0.41379309E+01  -0.13340111E+02
   0.28950602E+00  -0.43103447E+01  -0.13340109E+02
   0.28950602E+00  -0.44827585E+01  -0.13340109E+02
   0.28950602E+00  -0.46551723E+01  -0.13340108E+02
   0.28950602E+00  -0.48275862E+01  -0.13340108E+02
   0.28950602E+00  -0.50000000E+01  -0.13340108E+02
 
   0.80674750E+00   0.00000000E+00  -0.14006779E+02
   0.80674750E+00  -0.17241380E+00  -0.13963195E+02
   0.80674750E+00  -0.34482759E+00  -0.13912879E+02
   0.80674750E+00  -0.51724136E+00  -0.13854890E+02
   0.80674750E+00  -0.68965518E+00  -0.13790019E+02
   0.80674750E+00  -0.86206895E+00  -0.13722848E+02
   0.80674750E+00  -0.10344827E+01  -0.13660676E+02
   0.80674750E+00  -0.12068965E+01  -0.13608724E+02
   0.80674750E+00  -0.13793104E+01  -0.13568621E+02
   0.80674750E+00  -0.15517242E+01  -0.13539233E+02
   0.80674750E+00  -0.17241379E+01  -0.13518386E+02
   0.80674750E+00  -0.18965517E+01  -0.13503891E+02
   0.80674750E+00  -0.20689654E+01  -0.13493934E+02
   0.80674750E+00  -0.22413793E+01  -0.13487147E+02
   0.80674750E+00  -0.24137931E+01  -0.13482542E+02
   0.80674750E+00  -0.25862069E+01  -0.13479428E+02
   0.80674750E+00  -0.27586207E+01  -0.13477327E+02
   0.80674750E+00  -0.29310346E+01  -0.13475910E+02
   0.80674750E+00  -0.31034484E+01  -0.13474955E+02
   0.80674750E+00  -0.32758620E+01  -0.13474313E+02
   0.80674750E+00  -0.34482758E+01  -0.13473881E+02
   0.80674750E+00  -0.36206896E+01  -0.13473590E+02
   0.80674750E+00  -0.37931035E+01  -0.13473395E+02
   0.80674750E+00  -0.39655173E+01  -0.13473263E+02
   0.80674750E+00  -0.41379309E+01  -0.13473175E+02
   0.80674750E+00  -0.43103447E+01  -0.13473115E+02
   0.80674750E+00  -0.44827585E+01  -0.13473075E+02
   0.80674750E+00  -0.46551723E+01  -0.13473049E+02
   0.80674750E+00  -0.48275862E+01  -0.13473030E+02
   0.80674750E+00  -0.50000000E+01  -0.13473018E+02
 
   0.13239890E+01   0.00000000E+00  -0.14406119E+02
   0.13239890E+01  -0.17241380E+00  -0.14363253E+02
   0.13239890E+01  -0.34482759E+00  -0.14314044E+02
   0.13239890E+01  -0.51724136E+00  -0.14257726E+02
   0.13239890E+01  -0.68965518E+00  -0.14193581E+02
   0.13239890E+01  -0.86206895E+00  -0.14122925E+02
   0.13239890E+01  -0.10344827E+01  -0.14049026E+02
   0.13239890E+01  -0.12068965E+01  -0.13977121E+02
   0.13239890E+01  -0.13793104E+01  -0.13912732E+02
   0.13239890E+01  -0.15517242E+01  -0.13859557E+02
   0.13239890E+01  -0.17241379E+01  -0.13818262E+02
   0.13239890E+01  -0.18965517E+01  -0.13787664E+02
   0.13239890E+01  -0.20689654E+01  -0.13765706E+02
   0.13239890E+01  -0.22413793E+01  -0.13750285E+02
   0.13239890E+01  -0.24137931E+01  -0.13739610E+02
   0.13239890E+01  -0.25862069E+01  -0.13732292E+02
   0.13239890E+01  -0.27586207E+01  -0.13727307E+02
   0.13239890E+01  -0.29310346E+01  -0.13723925E+02
   0.13239890E+01  -0.31034484E+01  -0.13721638E+02
   0.13239890E+01  -0.32758620E+01  -0.13720095E+02
