 30,30
   0.16344828E+02  -0.22413793E+01  -0.15418606E+02
   0.16344828E+02  -0.24137931E+01  -0.15418602E+02
   0.16344828E+02  -0.25862069E+01  -0.15418599E+02
   0.16344828E+02  -0.27586207E+01  -0.15418597E+02
   0.16344828E+02  -0.29310346E+01  -0.15418595E+02
   0.16344828E+02  -0.31034484E+01  -0.15418595E+02
   0.16344828E+02  -0.32758620E+01  -0.15418594E+02
   0.16344828E+02  -0.34482758E+01  -0.15418594E+02
   0.16344828E+02  -0.36206896E+01  -0.15418593E+02
   0.16344828E+02  -0.37931035E+01  -0.15418593E+02
   0.16344828E+02  -0.39655173E+01  -0.15418593E+02
   0.16344828E+02  -0.41379309E+01  -0.15418593E+02
   0.16344828E+02  -0.43103447E+01  -0.15418593E+02
   0.16344828E+02  -0.44827585E+01  -0.15418593E+02
   0.16344828E+02  -0.46551723E+01  -0.15418593E+02
   0.16344828E+02  -0.48275862E+01  -0.15418593E+02
   0.16344828E+02  -0.50000000E+01  -0.15418593E+02
 
   0.16517241E+02   0.00000000E+00  -0.15422191E+02
   0.16517241E+02  -0.17241380E+00  -0.15421030E+02
   0.16517241E+02  -0.34482759E+00  -0.15420250E+02
   0.16517241E+02  -0.51724136E+00  -0.15419725E+02
   0.16517241E+02  -0.68965518E+00  -0.15419372E+02
   0.16517241E+02  -0.86206895E+00  -0.15419134E+02
   0.16517241E+02  -0.10344827E+01  -0.15418975E+02
   0.16517241E+02  -0.12068965E+01  -0.15418867E+02
   0.16517241E+02  -0.13793104E+01  -0.15418795E+02
   0.16517241E+02  -0.15517242E+01  -0.15418747E+02
   0.16517241E+02  -0.17241379E+01  -0.15418714E+02
   0.16517241E+02  -0.18965517E+01  -0.15418692E+02
   0.16517241E+02  -0.20689654E+01  -0.15418677E+02
   0.16517241E+02  -0.22413793E+01  -0.15418667E+02
   0.16517241E+02  -0.24137931E+01  -0.15418661E+02
   0.16517241E+02  -0.25862069E+01  -0.15418656E+02
   0.16517241E+02  -0.27586207E+01  -0.15418653E+02
   0.16517241E+02  -0.29310346E+01  -0.15418651E+02
   0.16517241E+02  -0.31034484E+01  -0.15418650E+02
   0.16517241E+02  -0.32758620E+01  -0.15418649E+02
   0.16517241E+02  -0.34482758E+01  -0.15418648E+02
   0.16517241E+02  -0.36206896E+01  -0.15418648E+02
   0.16517241E+02  -0.37931035E+01  -0.15418648E+02
   0.16517241E+02  -0.39655173E+01  -0.15418647E+02
   0.16517241E+02  -0.41379309E+01  -0.15418647E+02
   0.16517241E+02  -0.43103447E+01  -0.15418647E+02
   0.16517241E+02  -0.44827585E+01  -0.15418647E+02
   0.16517241E+02  -0.46551723E+01  -0.15418647E+02
   0.16517241E+02  -0.48275862E+01  -0.15418647E+02
   0.16517241E+02  -0.50000000E+01  -0.15418647E+02
 
   0.16689655E+02   0.00000000E+00  -0.15423997E+02
   0.16689655E+02  -0.17241380E+00  -0.15422272E+02
   0.16689655E+02  -0.34482759E+00  -0.15421111E+02
   0.16689655E+02  -0.51724136E+00  -0.15420331E+02
   0.16689655E+02  -0.68965518E+00  -0.15419806E+02
   0.16689655E+02  -0.86206895E+00  -0.15419452E+02
   0.16689655E+02  -0.10344827E+01  -0.15419215E+02
   0.16689655E+02  -0.12068965E+01  -0.15419056E+02
   0.16689655E+02  -0.13793104E+01  -0.15418948E+02
   0.16689655E+02  -0.15517242E+01  -0.15418876E+02
   0.16689655E+02  -0.17241379E+01  -0.15418828E+02
   0.16689655E+02  -0.18965517E+01  -0.15418795E+02
   0.16689655E+02  -0.20689654E+01  -0.15418773E+02
   0.16689655E+02  -0.22413793E+01  -0.15418758E+02
