           30,          30
   0.23584719E+01  -0.34482759E+00  -0.14445330E+02
   0.23584719E+01  -0.51724136E+00  -0.14263785E+02
   0.23584719E+01  -0.68965518E+00  -0.14089959E+02
   0.23584719E+01  -0.86206895E+00  -0.13926386E+02
   0.23584719E+01  -0.10344827E+01  -0.13775925E+02
   0.23584719E+01  -0.12068965E+01  -0.13641001E+02
   0.23584719E+01  -0.13793104E+01  -0.13523564E+02
   0.23584719E+01  -0.15517242E+01  -0.13423038E+02
   0.23584719E+01  -0.17241379E+01  -0.13337380E+02
   0.23584719E+01  -0.18965517E+01  -0.13262610E+02
   0.23584719E+01  -0.20689654E+01  -0.13193559E+02
   0.23584719E+01  -0.22413793E+01  -0.13124618E+02
   0.23584719E+01  -0.24137931E+01  -0.13050456E+02
   0.23584719E+01  -0.25862069E+01  -0.12966673E+02
   0.23584719E+01  -0.27586207E+01  -0.12870319E+02
   0.23584719E+01  -0.29310346E+01  -0.12760147E+02
   0.23584719E+01  -0.31034484E+01  -0.12636509E+02
   0.23584719E+01  -0.32758620E+01  -0.12500913E+02
   0.23584719E+01  -0.34482758E+01  -0.12355450E+02
   0.23584719E+01  -0.36206896E+01  -0.12202296E+02
   0.23584719E+01  -0.37931035E+01  -0.12043401E+02
   0.23584719E+01  -0.39655173E+01  -0.11880351E+02
   0.23584719E+01  -0.41379309E+01  -0.11714364E+02
   0.23584719E+01  -0.43103447E+01  -0.11546332E+02
   0.23584719E+01  -0.44827585E+01  -0.11376893E+02
   0.23584719E+01  -0.46551723E+01  -0.11206492E+02
   0.23584719E+01  -0.48275862E+01  -0.11035437E+02
   0.23584719E+01  -0.50000000E+01  -0.10863940E+02
 
   0.28757106E+01   0.00000000E+00  -0.15220309E+02
   0.28757106E+01  -0.17241380E+00  -0.15029422E+02
   0.28757106E+01  -0.34482759E+00  -0.14842250E+02
   0.28757106E+01  -0.51724136E+00  -0.14660382E+02
   0.28757106E+01  -0.68965518E+00  -0.14485904E+02
