           30,          30
   0.17724138E+02  -0.44827585E+01  -0.25160477E+02
   0.17724138E+02  -0.46551723E+01  -0.25160477E+02
   0.17724138E+02  -0.48275862E+01  -0.25160476E+02
   0.17724138E+02  -0.50000000E+01  -0.25160476E+02
 
   0.18068966E+02   0.00000000E+00  -0.25272338E+02
   0.18068966E+02  -0.17241380E+00  -0.25237309E+02
   0.18068966E+02  -0.34482759E+00  -0.25213325E+02
   0.18068966E+02  -0.51724136E+00  -0.25197234E+02
   0.18068966E+02  -0.68965518E+00  -0.25186200E+02
   0.18068966E+02  -0.86206895E+00  -0.25178743E+02
   0.18068966E+02  -0.10344827E+01  -0.25173711E+02
   0.18068966E+02  -0.12068965E+01  -0.25170320E+02
   0.18068966E+02  -0.13793104E+01  -0.25168037E+02
   0.18068966E+02  -0.15517242E+01  -0.25166500E+02
   0.18068966E+02  -0.17241379E+01  -0.25165466E+02
   0.18068966E+02  -0.18965517E+01  -0.25164770E+02
   0.18068966E+02  -0.20689654E+01  -0.25164303E+02
   0.18068966E+02  -0.22413793E+01  -0.25163988E+02
   0.18068966E+02  -0.24137931E+01  -0.25163776E+02
   0.18068966E+02  -0.25862069E+01  -0.25163634E+02
   0.18068966E+02  -0.27586207E+01  -0.25163539E+02
   0.18068966E+02  -0.29310346E+01  -0.25163474E+02
   0.18068966E+02  -0.31034484E+01  -0.25163431E+02
   0.18068966E+02  -0.32758620E+01  -0.25163402E+02
   0.18068966E+02  -0.34482758E+01  -0.25163382E+02
   0.18068966E+02  -0.36206896E+01  -0.25163369E+02
   0.18068966E+02  -0.37931035E+01  -0.25163360E+02
   0.18068966E+02  -0.39655173E+01  -0.25163354E+02
   0.18068966E+02  -0.41379309E+01  -0.25163351E+02
   0.18068966E+02  -0.43103447E+01  -0.25163348E+02
   0.18068966E+02  -0.44827585E+01  -0.25163346E+02
   0.18068966E+02  -0.46551723E+01  -0.25163345E+02
   0.18068966E+02  -0.48275862E+01  -0.25163344E+02
   0.18068966E+02  -0.50000000E+01  -0.25163343E+02
 
   0.18413794E+02   0.00000000E+00  -0.25400596E+02
