# #CIE cooling from Gnat and Ferland 2012: http://wise-obs.tau.ac.il/~orlyg/ion_by_ion/
# #This is the CIE cooling used by Kim+2023, ApJS 264, 10
# #Tgas is in K, cool_He and cool_ZCIE are in erg cm^3/s
# #Total CIE cooling at any metalicity Z is given by: cool_He + Z*cool_ZCIE
# #Tgas Cool_He Cool_ZCIE
1.580000e+07 2.7146900000e-24 1.180490734640576e-23
1.660000e+07 2.7657500000e-24 1.088829603944208e-23
1.740000e+07 2.8168100000e-24 1.001056698150240e-23
1.820000e+07 2.8678700000e-24 9.249464717539841e-24
1.910000e+07 2.9189300000e-24 8.538287738600157e-24
2.000000e+07 2.9699900000e-24 7.887273121138601e-24
2.090000e+07 3.0210500000e-24 7.348186491701040e-24
2.190000e+07 3.0721100000e-24 6.866284646738479e-24
2.290000e+07 3.1231700000e-24 6.442908170803040e-24
2.400000e+07 3.1827400000e-24 6.053855167365480e-24
2.510000e+07 3.2338000000e-24 5.753909267905039e-24
2.630000e+07 3.2848600000e-24 5.464114954969600e-24
2.750000e+07 3.3444300000e-24 5.219870943532039e-24
2.880000e+07 3.3954900000e-24 4.995609328596600e-24
3.020000e+07 3.4465500000e-24 4.803272052637160e-24
3.160000e+07 3.5061200000e-24 4.633294071205200e-24
3.310000e+07 3.5742000000e-24 4.491008694791400e-24
3.470000e+07 3.6422800000e-24 4.358145690364800e-24
3.630000e+07 3.7018500000e-24 4.236855466962200e-24
3.800000e+07 3.7699300000e-24 4.127329657524400e-24
3.980000e+07 3.8380100000e-24 4.027479125121799e-24
4.170000e+07 3.9060900000e-24 3.947501075684000e-24
4.370000e+07 3.9656600000e-24 3.870459636281401e-24
4.570000e+07 4.0337400000e-24 3.798968525843600e-24
4.790000e+07 4.0933100000e-24 3.740558546440999e-24
5.010000e+07 4.1528800000e-24 3.680738879003199e-24
5.250000e+07 4.2124500000e-24 3.630173489075600e-24
5.500000e+07 4.2720200000e-24 3.585093617637800e-24
5.750000e+07 4.3230800000e-24 3.541493505710199e-24
6.030000e+07 4.3741400000e-24 3.503886901771400e-24
6.310000e+07 4.4252000000e-24 3.467813244832600e-24
6.610000e+07 4.4762600000e-24 3.436695012869799e-24
6.920000e+07 4.5188100000e-24 3.405498331931000e-24
7.240000e+07 4.5613600000e-24 3.383395046467200e-24
7.590000e+07 4.6039100000e-24 3.353543905003400e-24
7.940000e+07 4.6379500000e-24 3.326235303064600e-24
8.320000e+07 4.6719900000e-24 3.302981482099800e-24
8.710000e+07 4.7060300000e-24 3.288266642600800e-24
9.120000e+07 4.7315600000e-24 3.262002358137000e-24
9.550000e+07 4.7656000000e-24 3.242957106161000e-24
1.000000e+08 4.7826200000e-24 3.217199471172200e-24
