#size(cm)    E(eV)        Qabs         Qsca         g(cos)       
1.000000e-07 9.294167e+00 4.196000e-02 4.229000e-06 5.020000e-04 
1.000000e-07 9.847831e+00 4.650000e-02 5.355000e-06 5.550000e-04 
1.000000e-07 1.042760e+01 5.832000e-02 7.320000e-06 5.920000e-04 
1.000000e-07 1.105028e+01 6.792000e-02 9.320000e-06 6.350000e-04 
1.000000e-07 1.170767e+01 8.348000e-02 1.340000e-05 6.710000e-04 
1.000000e-07 1.239842e+01 1.075000e-01 1.792000e-05 6.710000e-04 
1.000000e-07 1.313253e+01 1.287000e-01 2.301000e-05 6.970000e-04 
1.000000e-07 1.391049e+01 1.456000e-01 2.666000e-05 7.480000e-04 
1.000000e-07 1.473546e+01 1.575000e-01 3.431000e-05 8.300000e-04 
1.000000e-07 1.560924e+01 1.884000e-01 4.784000e-05 8.710000e-04 
1.000000e-07 1.653343e+01 2.251000e-01 6.555000e-05 9.150000e-04 
1.000000e-07 1.751437e+01 2.490000e-01 8.229000e-05 9.990000e-04 
1.000000e-07 1.855218e+01 2.543000e-01 9.678000e-05 1.120000e-03 
1.000000e-07 1.964884e+01 2.144000e-01 9.323000e-05 1.290000e-03 
1.000000e-07 2.081319e+01 1.335000e-01 5.687000e-05 1.530000e-03 
1.000000e-07 2.204947e+01 1.066000e-01 3.620000e-05 1.800000e-03 
1.000000e-07 2.335359e+01 9.975000e-02 3.320000e-05 2.060000e-03 
1.000000e-07 2.473747e+01 9.525000e-02 3.263000e-05 2.340000e-03 
1.000000e-07 2.620122e+01 9.179000e-02 3.337000e-05 2.650000e-03 
1.000000e-07 2.775558e+01 8.882000e-02 3.488000e-05 2.990000e-03 
1.000000e-07 2.940104e+01 8.598000e-02 3.685000e-05 3.370000e-03 
1.000000e-07 3.114398e+01 8.313000e-02 3.916000e-05 3.800000e-03 
1.000000e-07 3.299207e+01 8.014000e-02 4.165000e-05 4.280000e-03 
1.000000e-07 3.494481e+01 7.701000e-02 4.427000e-05 4.820000e-03 
1.000000e-07 3.701021e+01 7.373000e-02 4.690000e-05 5.420000e-03 
1.000000e-07 3.921069e+01 7.024000e-02 4.945000e-05 6.110000e-03 
1.000000e-07 4.153574e+01 6.668000e-02 5.192000e-05 6.870000e-03 
1.000000e-07 4.399723e+01 6.294000e-02 5.411000e-05 7.730000e-03 
1.000000e-07 4.659308e+01 5.923000e-02 5.603000e-05 8.700000e-03 
1.000000e-07 4.935676e+01 5.543000e-02 5.739000e-05 9.790000e-03 
1.000000e-07 5.229194e+01 5.165000e-02 5.778000e-05 1.100000e-02 
1.000000e-07 5.537481e+01 4.988000e-02 5.985000e-05 1.240000e-02 
1.000000e-07 5.867685e+01 4.721000e-02 6.180000e-05 1.390000e-02 
1.000000e-07 6.214747e+01 4.463000e-02 6.190000e-05 1.570000e-02 
1.000000e-07 6.580902e+01 4.621000e-02 6.788000e-05 1.770000e-02 
1.000000e-07 6.973239e+01 4.355000e-02 7.391000e-05 1.980000e-02 
1.000000e-07 7.384407e+01 4.108000e-02 7.732000e-05 2.230000e-02 
1.000000e-07 7.822347e+01 3.874000e-02 7.993000e-05 2.510000e-02 
1.000000e-07 8.287713e+01 3.647000e-02 8.210000e-05 2.820000e-02 
